"Methan, Floxbetrieb",,,,,
Pipe dia,16.5 mm,,,,
,,,,,
,,,,,
,,,,,
P1_mbar,P2_mbar,Volumendurchfluss_Nm3/h,Druckverlust_mbar,T1_C,T2_C
13.2,-0.1,25,13.3,298,373
12.3,-0.2,24,12.5,298,373
11.2,-0.1,23,11.3,298,373
10.2,-0.3,22,10.5,298,373
9.5,-0.2,21,9.7,298,373
8.7,-0.1,20,8.8,298,373
7.8,-0.1,19,7.9,298,373
7.2,-0.2,18,7.4,298,373
6.5,-0.2,17,6.7,298,373
5.7,-0.2,16,5.9,298,373
5.2,-0.2,15,5.4,298,373
4.5,-0.3,14,4.8,298,373
3.9,-0.3,13,4.2,298,373
3.4,-0.3,12,3.7,298,373
2.9,-0.4,11,3.3,298,373
2.5,-0.4,10,2.9,298,373
2.1,-0.5,9,2.6,298,373
1.6,-0.5,8,2.1,298,373
